Title:,"Time Series, Area-Averaged of Surface Soil moisture daily 0.25 deg. [GLDAS Model (daily)"
User Start Date:,2021-01-01T00:00:00Z
User End Date:,2023-08-30T23:59:59Z
User Bounding Box:,
Data Bounding Box:,
URL to Reproduce Results:,https://giovanni.gsfc.nasa.gov/giovanni/#service=ArAvTs&starttime=2021-01-01T00:00:00Z&endtime=2023-08-30T23:59:59Z&shape=state_dept_countries_2017/shp_246&&data=GLDAS_CLSM025_DA1_D_2_2_SoilMoist_S_tavg&portal=GIOVANNI&format=json
Fill Value (mean_GLDAS_CLSM025_DA1_D_2_2_SoilMoist_S_tavg):,-9999
,
time,mean_GLDAS_CLSM025_DA1_D_2_2_SoilMoist_S_tavg
2021-01-01,5.55469561
2021-01-02,5.52192545
2021-01-03,5.15086603
2021-01-04,5.02995682
2021-01-05,4.94433308
2021-01-06,5.03435802
2021-01-07,5.49103069
2021-01-08,5.52196264
2021-01-09,5.58246946
2021-01-10,5.61826468
2021-01-11,5.74293089
2021-01-12,5.72074366
2021-01-13,5.72398853
2021-01-14,5.85050488
2021-01-15,5.86970043
2021-01-16,5.7638278
2021-01-17,6.03499699
2021-01-18,6.25542831
2021-01-19,6.13348484
2021-01-20,6.1230402
2021-01-21,6.15842104
2021-01-22,5.77942848
2021-01-23,5.97996902
2021-01-24,6.07690144
2021-01-25,6.09500027
2021-01-26,5.83465481
2021-01-27,5.71193457
2021-01-28,5.972188
2021-01-29,6.13621473
2021-01-30,5.78569555
2021-01-31,5.865623
2021-02-01,5.86519909
2021-02-02,6.15392733
2021-02-03,5.80711937
2021-02-04,5.55951309
2021-02-05,5.52667093
2021-02-06,5.59361839
2021-02-07,5.54971933
2021-02-08,5.70904064
2021-02-09,5.65641975
2021-02-10,5.54704475
2021-02-11,5.5315671
2021-02-12,5.4216795
2021-02-13,5.57391596
2021-02-14,5.61673117
2021-02-15,5.78139305
2021-02-16,6.05240107
2021-02-17,5.77289343
2021-02-18,5.47334433
2021-02-19,5.40897608
2021-02-20,5.31068468
2021-02-21,5.33882475
2021-02-22,5.39032698
2021-02-23,5.45990181
2021-02-24,5.28439093
2021-02-25,5.30668926
2021-02-26,5.7781167
2021-02-27,6.15416813
2021-02-28,6.14109612
2021-03-01,5.7748394
2021-03-02,5.53730965
2021-03-03,5.42808628
2021-03-04,5.39756346
2021-03-05,5.33499956
2021-03-06,5.22883797
2021-03-07,5.09247255
2021-03-08,4.97763109
2021-03-09,4.89316797
2021-03-10,4.8096118
2021-03-11,4.72744894
2021-03-12,4.71182346
2021-03-13,4.68151093
2021-03-14,4.64435673
2021-03-15,4.65673065
2021-03-16,4.57793236
2021-03-17,4.52675724
2021-03-18,4.48766899
2021-03-19,4.45158482
2021-03-20,4.3950882
2021-03-21,4.35929489
2021-03-22,4.39755392
2021-03-23,4.5790987
2021-03-24,4.53975677
2021-03-25,4.52659416
2021-03-26,4.63438368
2021-03-27,4.40339613
2021-03-28,4.34823942
2021-03-29,4.32461262
2021-03-30,4.24712658
2021-03-31,4.20513296
2021-04-01,4.15199614
2021-04-02,4.10854006
